Date,Publisher,Spend_USD
2024-01,1011now.com,509.9516
2024-01,1035thearrow.com,1.5997
2024-01,1051thebounce.com,0.6287
2024-01,1069play.com,0.9427
2024-01,1073jamz.com,0.4979
2024-01,1077thebone.com,0.7942
2024-01,1077theeagle.com,0.5602
2024-01,10tv.com,93.4523
2024-01,11alive.com,62.2544
2024-01,12tomatoes.com,464.0809
2024-01,24hourcampfire.com,2.3262
2024-01,270towin.com,531.4993999999999
2024-01,3dtuning.com,9.9508
2024-01,5e.tools,140.178
2024-01,5newsonline.com,33.2725
2024-01,6pm.com,449.2142
2024-01,90min.com,12.8319
2024-01,925maxima.com,1.5266
2024-01,931elrey.com,8.7886
2024-01,937thebull.iheart.com,2.9954
2024-01,955thebull.iheart.com,0.786
2024-01,961now.iheart.com,7.0243
2024-01,963jackfm.com,2.4981
2024-01,97xonline.com,0.2735
2024-01,989radionow.iheart.com,1.1518
2024-01,995qyk.com,3.9657999999999998
2024-01,997wtn.com,1.5815
2024-01,Facebook,2208659.7927
2024-01,Hulu,4230302.2976
2024-01,Instagram,4171995.2383
2024-01,Netflix,1449023.2545
2024-01,OTT Streaming Services (General),1969643.9587
2024-01,Paramount+,272120.2603
2024-01,Peacock,1631947.6201
2024-01,Pluto TV,234768.9393
2024-01,Snapchat,28018.136899999998
2024-01,TikTok,2573317.6909
2024-01,Tubi,504199.8194
2024-01,Twitch,45621.091199999995
2024-01,X (formerly Twitter),83.95
2024-01,YouTube,2677264.4735
2024-01,a-z-animals.com,162.6773
2024-01,abc-7.com,0.4482
2024-01,abc11.com,189.223
2024-01,abc13.com,479.46619999999996
2024-01,abc15.com,3298.8262
2024-01,abc27.com,540.5735
2024-01,abc30.com,47.7982
2024-01,abc3340.com,645.1214
2024-01,abc7chicago.com,159.9515
2024-01,abc7ny.com,289.2385
2024-01,abcstlouis.com,3.0511
2024-01,accuweather.com,2091.3322
2024-01,active.com,4195.6997
2024-01,actorsaccess.com,1683.2747
2024-01,addapinch.com,8.5429
2024-01,addresses.com,27.7671
2024-01,adultswim.com,3701.4392
2024-01,advergize.com,1.1064
2024-01,advocate.com,1821.0544
2024-01,afar.com,2218.3748
2024-01,agupdate.com,1.2625
2024-01,aheadofthyme.com,31.337699999999998
2024-01,airasia.com,168.5949
2024-01,akc.org,9566.4885
2024-01,al.com,1317.1747
2024-01,algebra.com,6.9319
2024-01,aljazeera.com,910.6223
2024-01,aljazeera.net,3302.7563
2024-01,all3dp.com,695.0927
2024-01,allbusiness.com,5.5819
2024-01,allmusic.com,2222.6386
2024-01,allpeoplequilt.com,15.6636
2024-01,allrecipes.com (Meredith),110058.3885
2024-01,allthebestfights.com,3.8485
2024-01,allthelyrics.com,0.8674
2024-01,allthetests.com,24.439999999999998
2024-01,allthingsthrifty.com,2.5778
2024-01,allure.com (Condé Nast),331.488
2024-01,almanac.com,271.5139
2024-01,alt987fm.iheart.com,2.9308
2024-01,am860theanswer.com,5.4071
2024-01,amazingribs.com,258.0441
2024-01,amazon.com,8184.8134
2024-01,americansongwriter.com,60.7435
2024-01,amgreatness.com,121.8078
2024-01,ana-white.com,243.7201
2024-01,anagrammer.com,2015.6924
2024-01,androidauthority.com,547.5735999999999
2024-01,androidcentral.com (Mobile Nations),4895.0273
2024-01,androidpolice.com,491.53679999999997
2024-01,animenewsnetwork.com,1807.9404
2024-01,aol.com,3054.9196
2024-01,apartmenttherapy.com,110.2726
2024-01,apinchofhealthy.com,8.5262
2024-01,apnews.com,24.1324
2024-01,appleinsider.com,2424.1729
2024-01,appunwrapper.com,2.4425
2024-01,architecturaldigest.com (Condé Nast),94.3333
2024-01,architecturendesign.net,0.1349
2024-01,arstechnica.com (Condé Nast),853.0418999999999
2024-01,artnews.com,710.4593
2024-01,asajo.jp,0.8558999999999999
2024-01,ask.com (IAC),641.6008
2024-01,askamanager.org,2604.8763
2024-01,askpython.com,93.3529
2024-01,athletic.net,3802.1664
2024-01,athlonsports.com,359.2796
2024-01,att.com (AT&T),1168.0262
2024-01,audacy.com,244.8124
2024-01,audiomack.com,10.0495
2024-01,austin.com,0.7126
2024-01,autoevolution.com,1910.583
2024-01,autoguide.com,635.7796
2024-01,automotiveforums.com,110.9218
2024-01,autos.yahoo.com,47.974599999999995
2024-01,autotrader.com (Cox Enterprises),136697.0
2024-01,autoweek.com,518.0446
2024-01,autowise.com,1.8515
2024-01,avclub.com,43.8319
2024-01,aviewfrommyseat.com,3726.2469
2024-01,avocadoposts.com,9590.1965
2024-01,awfulannouncing.com,31.888
2024-01,axios.com,3701.8997
2024-01,azcentral.com (Gannett),2808.6583
2024-01,azfamily.com,3748.8815
2024-01,azlyrics.com,151.8904
2024-01,azstarnet.com,0.5009
2024-01,babycenter.com,430.21500000000003
2024-01,babylonbee.com,511.1071
2024-01,backpacker.com,1114.1992
2024-01,backyardchickens.com,826.9883
2024-01,baeldung.com,380.186
2024-01,bakersfieldnow.com,2.9152
