Date,Brand_Leaf,Link_to_Creative,Spend_USD
2024-01,Business Spark Card,https://s3.amazonaws.com/YM_Ads/oXU9W5YueEvY6twwNLwxXA.png,135799.8382
2024-01,Business Spark Card,https://s3.amazonaws.com/YM_Ads/8fjjJvBv2hFeBJBbkMy84A.png,128055.4704
2024-01,Business Spark Card,https://s3.amazonaws.com/YM_Ads/6YqOWKkuaVGuoQOa1gIJXw.png,120754.1105
2024-01,Business Venture X Card,https://x-ad-assets.s3.amazonaws.com/media_asset/706d1ac423bb79a9/media,662420.3282
2024-01,Business Venture X Card,https://x-ad-assets.s3.amazonaws.com/media_asset/662b234392cc8668/media,616293.4305
2024-01,Business Venture X Card,https://x-ad-assets.s3.amazonaws.com/media_asset/f91c3575b82eca40/media,430247.3507
2024-01,Capital One 360,https://x-ad-assets.s3.amazonaws.com/media_asset/80bd79e80bc40319/media,1167222.8052
2024-01,Capital One 360,https://x-ad-assets.s3.amazonaws.com/media_asset/2c484bc1fc2ebcff/media,789318.9649
2024-01,Capital One 360,https://x-ad-assets.s3.amazonaws.com/media_asset/3a8381a19166256c/media,510321.61289999995
2024-01,Capital One 360 CD,https://s3.amazonaws.com/YM_Ads/1586485183246953749.png,145162.9484
2024-01,Capital One 360 CD,https://s3.amazonaws.com/YM_Ads/7787298822459641772.png,90148.1551
2024-01,Capital One 360 CD,https://s3.amazonaws.com/YM_Ads/-6991885883936868166.png,75947.6804
2024-01,Capital One 360 Cafe Banks,https://s3.amazonaws.com/YM_Ads/-6035832674381263370.png,16863.5739
2024-01,Capital One 360 Cafe Banks,https://s3.amazonaws.com/YM_Ads/-1684470825591263330.png,9400.188400000001
2024-01,Capital One 360 Cafe Banks,https://s3.amazonaws.com/YM_Ads/-7202546926966484167.png,8957.4318
2024-01,Capital One 360 Checking,https://x-ad-assets.s3.amazonaws.com/media_asset/99c2ed5b708c5414/media,125907.9845
2024-01,Capital One 360 Checking,https://x-ad-assets.s3.amazonaws.com/media_asset/2ee388622bcb26aa/media,99939.198
2024-01,Capital One 360 Checking,https://x-ad-assets.s3.amazonaws.com/media_asset/94b0b3d0be10b65d/media,78305.0975
2024-01,Capital One Auto Navigator,https://s3.amazonaws.com/YM_Ads/1aGGjodIReSiYx2VQEDFVA.png,109599.6606
2024-01,Capital One Auto Navigator,https://s3.amazonaws.com/YM_Ads/7TO2F1cU5z_jBlxTpkNPWw.png,109359.0567
2024-01,Capital One Auto Navigator,https://s3.amazonaws.com/YM_Ads/Jmvcxyv5snbJrHiRw4JlUA.png,85258.505
2024-01,Capital One Business Finance,https://s3.amazonaws.com/YM_Ads/3oV0spkdXdp106pdtNpQTw.png,4506.3216
2024-01,Capital One Business Finance,https://s3.amazonaws.com/YM_Ads/WO7AepTGk7DhRV-kz86Icw.png,3588.9793
2024-01,Capital One Business Finance,https://s3.amazonaws.com/YM_Ads/g3VJB0hRmHqd49UOV2D1bw.png,3164.859
2024-01,Capital One Cardholder Benefits,https://s3.amazonaws.com/YM_Ads/-2669878675409100247.png,12672.1764
2024-01,Capital One Cardholder Benefits,https://s3.amazonaws.com/YM_Ads/7197562435513943074.png,8816.0189
2024-01,Capital One Cardholder Benefits,https://s3.amazonaws.com/YM_Ads/-3651180812286207519.png,4752.2514
2024-01,Capital One Careers,https://s3.amazonaws.com/YM_Ads/I1RUkja8L6vmUTZQDxLjJQ.mp4,133443.1342
2024-01,Capital One Careers,https://s3.amazonaws.com/YM_Ads/w_tEl1bYBrlR_fA4ZasqAQ.mp4,64660.745
2024-01,Capital One Careers,https://s3.amazonaws.com/YM_Ads/_0PEGruivsFDr14knkvB5w.mp4,56183.154500000004
2024-01,Capital One Commercial Banking,https://s3.amazonaws.com/YM_Ads/a4odiJ1mKNeLfBvmqnaKng.mp4,10100.3556
2024-01,Capital One Commercial Banking,https://s3.amazonaws.com/YM_Ads/l0paKxClg424oNRgRZukqQ.jpg,1817.2444
